CAC40,Nikkei225
3778.159912,10926.65039
3773.530029,11191.33984
3649.5,11153.16016
3660.370117,11173.83008
3706.280029,11385.94043
3699.909912,11606.37988
3840.149902,12283.62012
3844.030029,12560.9502
3770.290039,12338.53027
3731.419922,12397.91016
3663.47998,12833.63965
3729.300049,13485.13965
3651.959961,13316.48047
3810.050049,13884.12988
3912.949951,13694.04004
3953.830078,14607.54004
4001.27002,15138.12012
3956.790039,14612.4502
3948.590088,13774.54004
3872.590088,12877.53027
3805.159912,12686.51953
3658.040039,13230.12988
3738.909912,13677.32031
3753.850098,14309.96973
3855.090088,14506.25
3925.320068,14589.91016
3968.840088,14129.98047
4045.649902,14466.16016
4076.550049,13615.19043
4123.890137,13650.11035
4069.469971,13660.54981
3933.780029,13388.86035
4049.189941,13860.80957
4114.5,14404.66992
4203.660156,14742.41992
4186.77002,14760.07031
4164.25,14024.30957
4219.97998,14404.74023
4286.029785,14561.54004
4272.310059,14088.19043
4273.189941,14201.57031
4260.439941,14086.79981
4292.22998,15165.91992
4278.529785,15381.71973
4295.209961,15661.87012
4129.370117,15299.86035
4059.709961,15403.11035
4193.77002,15870.41992
4277.649902,16178.94043
4247.649902,16291.30957
4250.600098,15912.05957
4327.5,15734.45996
4161.470215,15391.55957
4165.720215,14914.53027
4228.180176,14462.41016
4340.140137,14313.03027
4381.060059,14865.66992
4408.080078,14841.07031
4366.419922,15274.07031
4216.370117,14327.66016
4335.279785,14224.23047
4411.259766,14696.03027
4484.549805,15063.76953
4365.859863,13960.04981
4431.810059,14516.26953
4443.629883,14429.25977
4458.169922,14457.50977
4477.279785,14199.58984
4456.279785,14096.58984
4493.149902,14462.16992
4519.569824,14632.37988
4581.120117,15077.24023
4543.279785,15097.83984
4541.339844,15349.41992
4436.990234,15095
4468.97998,15437.12988
4316.5,15164.04004
4335.310059,15215.70996
4330.549805,15457.87012
4202.779785,15523.11035
4147.810059,14778.37012
4174.359863,15318.33984
4252.799805,15539.19043
4381.040039,15424.58984
4486.490234,15668.67969
4441.700195,15948.29004
4461.220215,16321.16992
4394.75,16229.86035
4281.740234,15708.65039
4073.709961,15300.54981
4033.179932,14532.50977
4128.899902,15291.63965
4233.089844,16413.75977
4189.890137,16880.38086
4202.459961,17490.83008
4347.22998,17357.50977
4390.180176,17459.84961
4419.47998,17920.44922
4108.930176,17371.58008
4241.649902,17621.40039
4295.850098,17818.96094
4252.290039,17450.76953
4179.069824,17197.73047
4379.620117,16864.16016
4640.689941,17511.75
4604.25,17674.39063
4691.029785,17648.5
4759.359863,17913.35938
4830.899902,18332.30078
4951.47998,18797.93945
4964.350098,18971
5010.459961,19254.25
5087.490234,19560.2207
5034.060059,19285.63086
5074.140137,19435.08008
5240.459961,19907.63086
5143.259766,19652.88086
5201.450195,20020.03906
5046.490234,19531.63086
5090.390137,19379.18945
4993.819824,19732.91992
5142.890137,20264.41016
5007.890137,20563.15039
4920.740234,20460.90039
4901.189941,20407.08008
4815.370117,20174.24023
5059.169922,20706.15039
4808.220215,20539.78906
4903.069824,19779.83008
5124.390137,20650.91992
5057.359863,20544.5293
5082.609863,20585.24023
5154.75,20724.56055
4956.470215,20519.44922
4630.990234,19435.83008
4675.129883,19136.32031
4523.080078,17792.16016
4548.720215,18264.2207
4535.850098,18070.21094
4480.660156,17880.50977
4458.879883,17725.13086
4701.390137,18438.66992
4702.790039,18291.80078
4923.640137,18825.30078
4897.660156,19083.09961
4984.149902,19265.59961
4807.950195,19596.91016
4910.970215,19879.81055
4930.140137,19883.93945
4714.790039,19504.48047
4549.560059,19230.48047
4625.259766,18986.80078
4663.180176,18769.06055
4637.060059,19033.71094
4333.759766,17697.96094
4210.160156,17147.10938
4336.689941,16958.5293
4417.02002,17518.30078
4200.669922,16819.58984
3995.060059,14952.61035
4223.040039,15967.16992
4314.569824,16188.41016
4456.620117,17014.7793
4492.790039,16938.86914
4462.509766,16724.81055
4329.680176,17002.75
4322.240234,16164.16016
4303.120117,15821.51953
4495.169922,16848.0293
4569.660156,17572.49023
4428.959961,16666.05078
4301.240234,16106.71973
4319.990234,16412.21094
4353.899902,16736.34961
4514.740234,16834.83984
4421.779785,16642.23047
4306.720215,16601.35938
4193.830078,15599.66016
4106.72998,14952.01953
4273.959961,15682.48047
4190.680176,15106.98047
4372.509766,16497.84961
4381.100098,16627.25
4439.810059,16569.26953
4410.549805,16254.4502
4500.189941,16919.91992
4400.52002,16545.82031
4441.870117,16360.70996
4542.169922,16925.67969
4491.399902,16965.75977
4332.450195,16519.28906
4488.689941,16754.01953
4448.259766,16449.83984
4449.910156,16860.08984
4470.919922,16856.36914
4536.069824,17184.58984
4548.580078,17446.41016
4377.459961,16905.35938
4489.27002,17374.78906
4504.350098,17967.41016
4550.27002,18381.2207
4528.819824,18426.08008
4764.069824,18996.36914
4833.27002,19401.15039
4839.680176,19427.66992
4862.310059,19114.36914
4909.839844,19454.33008
4922.490234,19287.2793
4850.669922,19137.91016
4839.97998,19467.40039
4825.419922,18918.19922
4828.319824,19378.92969
4867.580078,19234.61914
4845.240234,19283.53906
4995.129883,19469.16992
4993.319824,19604.60938
5029.240234,19521.58984
5020.899902,19262.5293
5122.509766,18909.25977
5135.279785,18664.63086
5071.100098,18335.63086
5059.200195,18620.75
5267.330078,19196.74023
5432.399902,19445.69922
5405.419922,19883.90039
5324.399902,19590.75977
5336.640137,19686.83984
5343.410156,20177.2793
5299.709961,20013.25977
5263.310059,19943.25977
5266.120117,20132.66992
5120.680176,20033.42969
5145.160156,19929.08984
5235.310059,20118.85938
5117.660156,20099.75
5131.390137,19959.83984
5203.439941,19952.33008
5060.919922,19729.74023
5114.149902,19470.41016
5104.330078,19452.60938
5123.259766,19691.4707
5113.490234,19274.82031
5213.910156,19909.5
5281.290039,20296.44922
5329.810059,20356.2793
5359.899902,20690.71094
5351.740234,21155.17969
5372.379883,21457.64063
5494.129883,22008.44922
5517.970215,22539.11914
5380.720215,22681.41992
5319.169922,22396.80078
5390.459961,22550.84961
5316.890137,22819.0293
5399.089844,22811.08008
5349.299805,22553.2207
5364.720215,22902.75977
5312.560059,22764.93945
5470.75,23714.5293
5517.060059,23653.82031
5526.509766,23808.06055
5529.149902,23631.88086
5364.97998,23274.5293
5079.209961,21382.61914
5281.580078,21720.25
5317.370117,21892.7793
5136.580078,21181.64063
5274.399902,21469.19922
5282.75,21676.50977
5095.220215,20617.85938
5167.299805,21454.30078
5258.240234,21567.51953
5315.02002,21778.74023
5412.830078,22162.24023
5483.189941,22467.86914
5516.049805,22472.7793
5541.939941,22758.48047
5614.509766,22930.35938
5542.549805,22450.78906
5465.529785,22171.34961
5450.220215,22694.5
5501.879883,22851.75
5387.379883,22516.83008
5323.529785,22304.50977
5375.77002,21788.14063
5429.200195,22597.34961
5398.319824,22697.88086
5511.759766,22712.75
5478.97998,22525.17969
5414.680176,22298.08008
5344.930176,22270.38086
5432.5,22601.76953
5406.850098,22865.15039
5252.220215,22307.06055
5352.569824,23094.66992
5494.169922,23869.92969
5493.490234,24120.03906
5359.359863,23783.7207
5095.97998,22694.66016
5084.660156,22532.08008
4967.370117,21184.59961
5102.129883,22243.66016
5106.75,22250.25
5025.200195,21680.33984
4946.950195,21646.55078
5003.919922,22351.06055
4813.129883,21678.67969
4853.700195,21374.83008
4694.379883,20166.18945
4678.740234,20014.76953
4737.120117,19561.96094
4781.339844,20359.69922
4875.930176,20666.07031
4925.819824,20773.56055
5019.259766,20788.39063
4961.640137,20333.16992
